City	latitude	longitude
WICHITA	37.6922361	37.6922361
GRANDVILLE	48.5956451	48.5956451
PORTSMOUTH	50.8036831	50.8036831
HUDSON	42.7654433	42.7654433
BOCA RATON	26.3586885	26.3586885
ETHRIDGE	33.1345794	33.1345794
BELLEVUE	47.6144219	47.6144219
OGDEN	41.2230048	41.2230048
GREENBELT	38.9933654	38.9933654
MONROVIA	6.328034	6.328034
RIVERSIDE	33.7219991	33.7219991
CHESTERFIELD	38.661953	38.661953
TAMPA	27.9477595	27.9477595
MANITOWOC	44.0886059	44.0886059
CLACKAMAS	45.4146516	45.4146516
MONTCLAIR	40.8164458	40.8164458
WILMINGTON	39.7459468	39.7459468
FOWLER	36.6305058	36.6305058
BROOKLYN	40.6526006	40.6526006
DYERSBURG	36.0346393	36.0346393
PASO ROBLES	35.6267654	35.6267654
WARREN	40.8442828	40.8442828
TAYLOR	32.2793121	32.2793121
BURLINGAME	37.5841026	37.5841026
PISCATAWAY	38.7006716	38.7006716
CANTON	23.1301964	23.1301964
RED BANK	40.3470543	40.3470543
NASHVILLE	36.1622767	36.1622767
FORT WASHINGTON	38.738019	38.738019
DENVER	39.7392364	39.7392364
AMARGOSA VALLEY	36.4951365	36.4951365
HERNDON	39.909726	39.909726
ROCKWALL	32.8923464	32.8923464
ALLEN	37.8882168	37.8882168
FRISCO	33.1506744	33.1506744
BUFFALO	42.8867166	42.8867166
BROKEN ARROW	36.0525993	36.0525993
CHEFORNAK	60.153405	60.153405
SALINE	37.750075	37.750075
BEAVERCREEK	39.7092262	39.7092262
IRVING	32.8295183	32.8295183
KEARNY	37.9960049	37.9960049
ZEELAND	51.4162975	51.4162975
FORDS	40.5411231	40.5411231
GOLETA	34.4358295	34.4358295
BLUE BELL	40.152331	40.152331
GAINESVILLE	29.6519684	29.6519684
KENT	51.20707485	51.20707485
SOUTHFIELD	42.4733689	42.4733689
NORTHVILLE	42.4310806	42.4310806
MIRAMAR	25.9825093	25.9825093
WOBURN	42.4792618	42.4792618
ALBUQUERQUE	35.0841034	35.0841034
FORT MILL	35.0073697	35.0073697
CYPRESS	29.9691116	29.9691116
LAREDO	27.5236998	27.5236998
FOSTER CITY	37.5600336	37.5600336
GREENVILLE	34.851354	34.851354
REDMOND	47.6694141	47.6694141
SOUTH PADRE ISLAND	26.1036887	26.1036887
ONTARIO	50.000678	50.000678
BERWYN	41.8505874	41.8505874
MARLBOROUGH	42.3459271	42.3459271
MUKILTEO	47.9474034	47.9474034
EDGEWOOD	42.6444914	42.6444914
JACKSONVILLE	30.3321838	30.3321838
SIGNAL HILL	33.804826	33.804826
EAGLEVILLE	40.4691664	40.4691664
ORANGE BEACH	30.2828398	30.2828398
HOOVER	33.3864655	33.3864655
HARRISBURG	40.2663107	40.2663107
IRONDALE	33.5381601	33.5381601
RIO VISTA	32.2334808	32.2334808
DEARBORN	42.3222599	42.3222599
TUCKER	33.85162905	33.85162905
COMPTON	33.894927	33.894927
MONROE	38.2722313	38.2722313
NORCROSS	33.9412127	33.9412127
SILVER SPRING	38.9997621	38.9997621
IRWINDALE	34.1069927	34.1069927
WOODLAND HILLS	34.1684364	34.1684364
SANTA MONICA	34.0194704	34.0194704
PETALUMA	38.270022	38.270022
FREDERICK	39.415779	39.415779
NEWTOWN	52.5135785	52.5135785
GREENLAND	77.6192349	77.6192349
CLINTONVILLE	44.6205348	44.6205348
SAINT JOSEPH	49.5344534	49.5344534
COUNCIL BLUFFS	41.258841	41.258841
MURRIETA	33.5777524	33.5777524
MESA	33.4151117	33.4151117
BURLINGTON	44.4761601	44.4761601
NORFOLK	52.666667	52.666667
GRAND RAPIDS	42.9632405	42.9632405
ANNAPOLIS	38.9786401	38.9786401
SPOKANE	47.6571934	47.6571934
RIVERDALE	41.6333678	41.6333678
BELLINGHAM	48.7544012	48.7544012
MANCHESTER	53.4794892	53.4794892
CAMBRIDGE	52.2055314	52.2055314
GLEN BURNIE	39.1595439	39.1595439
LAKELAND	28.0394654	28.0394654
LONG BEACH	33.7690164	33.7690164
SCOTTSDALE	33.4942189	33.4942189
DOWNERS GROVE	41.7936822	41.7936822
SALT LAKE CITY	40.7596198	40.7596198
DAYTON	39.7589478	39.7589478
DAHLONEGA	34.5328484	34.5328484
SEATTLE	47.6038321	47.6038321
GARDEN GROVE	33.7746292	33.7746292
MILLINGTON	35.3414745	35.3414745
KITTERY	43.088448	43.088448
ELMSFORD	41.0550969	41.0550969
SOUTH SAN FRANCISCO	37.6535403	37.6535403
GULF BREEZE	30.3612885	30.3612885
INDIO	33.743765	33.743765
ITASCA	47.4968343	47.4968343
LEVITTOWN	40.7219525	40.7219525
RIVERVIEW	46.0612076	46.0612076
JACKSON	32.2990021	32.2990021
ARCADIA	34.1362075	34.1362075
LANCASTER	40.03813	40.03813
STATEN ISLAND	40.5834557	40.5834557
DUNWOODY	33.9463786	33.9463786
LIVERMORE	37.6820583	37.6820583
WEST HARTFORD	41.7620447	41.7620447
KENNER	29.9942265	29.9942265
AZUSA	34.1338751	34.1338751
MOORESTOWN	40.7787071	40.7787071
NORTH CHARLESTON	32.8546197	32.8546197
STAFFORD	52.8063157	52.8063157
HAVERTOWN	39.9809452	39.9809452
LOCKPORT	41.5894753	41.5894753
SOMERSET	51.16175085	51.16175085
MINNEAPOLIS	44.9772995	44.9772995
SONOMA	38.5110803	38.5110803
CAMP HILL	40.2398118	40.2398118
OXNARD	34.1976308	34.1976308
GARDEN CITY	37.9716898	37.9716898
MOORESVILLE	35.5848596	35.5848596
SAINT CLOUD	48.8437412	48.8437412
MERIDIAN	32.3643098	32.3643098
MUNHALL	40.3922914	40.3922914
PELHAM	33.285669	33.285669
DETROIT	42.3315509	42.3315509
MADISON	43.074761	43.074761
BRAINTREE	42.2064195	42.2064195
FARMINGTON HILLS	42.4853125	42.4853125
MC LEAN	34.3594514	34.3594514
SEAL BEACH	33.7423967	33.7423967
FREEPORT	42.2966861	42.2966861
GLENWOOD	41.5424867	41.5424867
PACOIMA	34.2625025	34.2625025
STOCKTON	37.9577016	37.9577016
ORANGE	33.7500378	33.7500378
KALISPELL	48.202158	48.202158
PLEASANTON	37.6624312	37.6624312
NORMAN	35.2225717	35.2225717
RACINE	42.7260523	42.7260523
HAUPPAUGE	40.8239353	40.8239353
CEDAR HILL	32.5888072	32.5888072
BOOTHWYN	39.8309418	39.8309418
MALVERN	52.1159559	52.1159559
MOREHEAD CITY	34.7229391	34.7229391
WESTON	51.3471927	51.3471927
TWINSBURG	41.3125552	41.3125552
GLENDALE	34.1469416	34.1469416
ELLISVILLE	38.5946373	38.5946373
DOYLESTOWN	40.3100446	40.3100446
MANGONIA PARK	26.760341	26.760341
AUSTELL	33.8126059	33.8126059
DOVER	51.1251275	51.1251275
WESTCHESTER	41.1763139	41.1763139
WEBSTER	37.2895151	37.2895151
CHARLESTON	32.7876012	32.7876012
SISTERS	44.290948	44.290948
GILLETTE	44.290635	44.290635
GUNTERSVILLE	34.3581474	34.3581474
SILVER BAY	47.2942968	47.2942968
ROSEVILLE	38.7521235	38.7521235
LINCOLN	40.8088861	40.8088861
LISLE	45.2787444	45.2787444
ARLINGTON	32.7355816	32.7355816
MOORPARK	34.285558	34.285558
DULUTH	46.7729322	46.7729322
TORRANCE	33.8358492	33.8358492
BOULDER	40.0149856	40.0149856
ELGIN	42.03726	42.03726
HUNTLAND	35.0511972	35.0511972
AMSTERDAM	52.3727598	52.3727598
BAY SHORE	40.73214605	40.73214605
SECAUCUS	40.7899291	40.7899291
CLARKSVILLE	36.5277607	36.5277607
WHEELING	42.138889	42.138889
CHICKASAW	30.7637991	30.7637991
EL SEGUNDO	33.917028	33.917028
HENDERSON	32.182598	32.182598
MARTINEZ	38.0138934	38.0138934
PORT CHESTER	41.0017643	41.0017643
FREDERICKSBURG	38.3031837	38.3031837
HIGHLAND	57.5066357	57.5066357
ALBANY	41.000028	41.000028
ASTON	42.7744772	42.7744772
NEW CASTLE	40.9999202	40.9999202
SELLS	31.923222	31.923222
SALINAS	36.6744117	36.6744117
TRAVERSE CITY	44.7606441	44.7606441
DOBSON	32.4734032	32.4734032
SPARTANBURG	34.9498007	34.9498007
PASADENA	34.1476452	34.1476452
COLLEGEVILLE	40.1856597	40.1856597
HAYWARD	37.6688205	37.6688205
TULSA	36.1556805	36.1556805
JAMESTOWN	37.2104434	37.2104434
PEWAUKEE	43.0805651	43.0805651
PAULDING	41.1381051	41.1381051
CAPE GIRARDEAU	37.3034933	37.3034933
LITTLETON	39.613321	39.613321
WINDSOR MILL	39.3328346	39.3328346
ENCINITAS	33.0369867	33.0369867
OWINGS MILLS	39.41484355	39.41484355
LA VISTA	41.1832679	41.1832679
ALAMEDA	37.6090291	37.6090291
AMBLER	46.395412	46.395412
SPARTA	37.08114525	37.08114525
AUBURN	32.6405377	32.6405377
GRIFFIN	33.2467807	33.2467807
NIAGARA FALLS	43.08436	43.08436
WILSON	29.1589961	29.1589961
MIDDLETOWN	41.5623178	41.5623178
COLORADO SPRINGS	38.8339578	38.8339578
FAIRFIELD	38.2493581	38.2493581
CARSON	35.3636563	35.3636563
TINTON FALLS	40.2890734	40.2890734
LAWRENCE	38.9719384	38.9719384
HOOKSETT	43.096972	43.096972
NEW ALBANY	38.2856247	38.2856247
PIGEON FORGE	35.7884241	35.7884241
BROOKHAVEN	31.5790667	31.5790667
BELLPORT	40.7570429	40.7570429
AVON	48.4048867	48.4048867
EL CENTRO	32.792	32.792
INGLEWOOD	33.9562003	33.9562003
LEWISVILLE	33.046233	33.046233
AQUEBOGUE	40.9445438	40.9445438
PRINCETON	40.3492744	40.3492744
SPRING	30.0798826	30.0798826
POCATELLO	42.8620287	42.8620287
SARASOTA	27.3365805	27.3365805
SEATAC	47.4449086	47.4449086
MANHATTAN BEACH	33.8915985	33.8915985
BEVERLY HILLS	34.0696501	34.0696501
HORSHAM	51.0630273	51.0630273
TIGARD	45.4307473	45.4307473
EAST PROVIDENCE	41.8137116	41.8137116
HOLLISTER	36.8524545	36.8524545
ENDICOTT	40.0829726	40.0829726
LONG GROVE	41.6981153	41.6981153
MECHANIC FALLS	44.111747	44.111747
EUGENE	44.0505054	44.0505054
GREENSBORO	36.0726355	36.0726355
SPOKANE VALLEY	47.6571104	47.6571104
CARLSTADT	40.8403778	40.8403778
FOUNTAIN VALLEY	33.7038145	33.7038145
IDAHO FALLS	43.4887907	43.4887907
WEEDSPORT	43.048677	43.048677
ARDSLEY	41.0106531	41.0106531
APEX	35.7325352	35.7325352
LONG ISLAND CITY	40.7415095	40.7415095
PALO ALTO	37.4443293	37.4443293
BLOOMFIELD	40.7510398	40.7510398
GLEN ELLYN	41.8775293	41.8775293
HARRISONBURG	38.4493315	38.4493315
CREEDMOOR	30.0899368	30.0899368
SALEM	44.9391565	44.9391565
CHESTER	53.1908873	53.1908873
FAIRFAX	38.8462236	38.8462236
ALEXANDER	37.1801529	37.1801529
KIRKLAND	47.6859573	47.6859573
CHARLESTOWN	43.2387	43.2387
MONTGOMERY	32.3669656	32.3669656
FORT COLLINS	40.5508527	40.5508527
OPELOUSAS	30.5335302	30.5335302
FORT SMITH	35.3872218	35.3872218
SLIDELL	30.2751945	30.2751945
PALMVIEW	26.233406	26.233406
WESTPORT	41.1414855	41.1414855
COTATI	38.3266798	38.3266798
LOGAN TOWNSHIP	44.288768	44.288768
MURRAY	44.017855	44.017855
SOUTHAMPTON	50.9025349	50.9025349
ANCHORAGE	61.2163129	61.2163129
MARYVILLE	38.724575	38.724575
SUWANEE	34.0514898	34.0514898
EAST WINDSOR	41.9156316	41.9156316
WOOD DALE	41.9633625	41.9633625
PINEVILLE	36.7620301	36.7620301
LOWELL	42.6334247	42.6334247
AZLE	32.8975875	32.8975875
NEWPORT BEACH	33.6170092	33.6170092
SAPULPA	36.0005035	36.0005035
EL DORADO HILLS	38.67716825	38.67716825
PARK RIDGE	42.0112329	42.0112329
RICHMOND	37.5385087	37.5385087
WESTLAKE	32.991226	32.991226
RYE	46.8712641	46.8712641
STERLING	31.8151416	31.8151416
VAN BUREN	40.749202	40.749202
WILLIAMSTON	42.689151	42.689151
GARLAND	32.912624	32.912624
TARRYTOWN	41.065586	41.065586
DANVILLE	40.125222	40.125222
EAST HANOVER	40.8200998	40.8200998
WYNCOTE	40.0906988	40.0906988
LANHAM	38.965365	38.965365
BROOKLYN PARK	45.1004807	45.1004807
JERICHO	31.855991	31.855991
BOTHELL	47.7598697	47.7598697
FRANKLIN	33.2002659	33.2002659
BETHLEHEM	31.7043556	31.7043556
MOBILE	30.6943566	30.6943566
PLYMOUTH MEETING	40.102332	40.102332
FULLERTON	33.8739385	33.8739385
SAINT CHARLES	38.7946252	38.7946252
LIVINGSTON	40.8682487	40.8682487
NEWTON	30.8118989	30.8118989
PLAINSBORO	40.3334409	40.3334409
NEWARK	40.735657	40.735657
JURUPA VALLEY	33.9798472	33.9798472
SYRACUSE	43.0481221	43.0481221
WOODINVILLE	47.7545827	47.7545827
BRANCHBURG	40.5688245	40.5688245
PROVO	40.2337289	40.2337289
WINDOW ROCK	35.667165	35.667165
MOUNT VERNON	38.3172715	38.3172715
DURHAM	54.68504755	54.68504755
MORGAN HILL	37.130408	37.130408
ARMONK	41.1330485	41.1330485
ARDMORE	34.1742611	34.1742611
BRYAN	30.6743643	30.6743643
MERIDEN	41.5381535	41.5381535
WAYNE	38.4251958	38.4251958
COVINA	34.0877926	34.0877926
OVIEDO	43.3604218	43.3604218
KENDRICK	46.6140599	46.6140599
RONKONKOMA	40.80749485	40.80749485
LENEXA	38.9697458	38.9697458
MENTOR	41.6664781	41.6664781
HOLLAND	52.2288689	52.2288689
PLACENTIA	44.8476352	44.8476352
SANTA BARBARA	34.4221319	34.4221319
VICTORVILLE	34.5361067	34.5361067
LAKEWOOD	39.7085736	39.7085736
TOMBALL	30.0971621	30.0971621
POWAY	32.9628234	32.9628234
UNIVERSITY PARK	52.9387428	52.9387428
MOUND CITY	38.142773	38.142773
TEMPLE	31.098207	31.098207
GREAT NECK	40.8006567	40.8006567
RICHGROVE	35.79680565	35.79680565
PLYMOUTH	50.3712659	50.3712659
COSTA MESA	33.6633386	33.6633386
CEDAR PARK	30.5217116	30.5217116
AURORA	41.7571701	41.7571701
DAYTONA BEACH	29.2108147	29.2108147
BAYAMON	18.3990551	18.3990551
WAKEFIELD	53.6829541	53.6829541
NAPA	28.1083929	28.1083929
STAMFORD	41.0534302	41.0534302
WINSTON SALEM	36.0998131	36.0998131
HIALEAH	25.8670439	25.8670439
RANCHO CORDOVA	38.5890723	38.5890723
POLSON	47.6905295	47.6905295
HARRISON	32.5233959	32.5233959
SOUTH BEND	41.6833813	41.6833813
FAYETTEVILLE	36.0625843	36.0625843
MANSFIELD	40.75839	40.75839
FLOWER MOUND	33.0283854	33.0283854
GERMANTOWN	38.5536601	38.5536601
SAN JUAN CAPISTRANO	33.5016932	33.5016932
KNOXVILLE	35.9603948	35.9603948
SOMERVILLE	42.3875968	42.3875968
EMERYVILLE	37.8314089	37.8314089
SMITHFIELD	35.5085531	35.5085531
PERRIS	33.7825194	33.7825194
JESSUP	39.14700145	39.14700145
SAVANNAH	32.0809263	32.0809263
SCOTIA	56.7861112	56.7861112
PROSPECT	38.3459615	38.3459615
SAN BERNARDINO	34.8253019	34.8253019
BROOKFIELD	41.8228378	41.8228378
SALISBURY	51.0690613	51.0690613
HAMPTON	37.0300969	37.0300969
MENLO PARK	37.4519671	37.4519671
POMPANO BEACH	26.2378597	26.2378597
GILBERT	33.3527632	33.3527632
MATTHEWS	35.1159532	35.1159532
DES MOINES	41.5910323	41.5910323
GLADEWATER	32.5365333	32.5365333
READING	51.456659	51.456659
COEUR D ALENE	47.6742994	47.6742994
MIAMISBURG	39.6428362	39.6428362
VAN NUYS	34.1866193	34.1866193
VISALIA	36.3302284	36.3302284
TEXARKANA	33.44667445	33.44667445
MC COOK	48.65345795	48.65345795
CHEROKEE	31.8390826	31.8390826
MOUNT DORA	28.81874675	28.81874675
PIEDMONT	45.060735	45.060735
ROCKAWAY	40.9012101	40.9012101
WINTER PARK	28.5977707	28.5977707
SPARKS	39.5404679	39.5404679
SUNNYVALE	37.3688301	37.3688301
ROMULUS	42.2222614	42.2222614
HAMILTON	43.2560802	43.2560802
BREA	51.1386239	51.1386239
SAN JUAN	18.465299	18.465299
LEMOORE	36.3006495	36.3006495
THOUSAND OAKS	34.1877423	34.1877423
HUGHSON	37.5969577	37.5969577
PENSACOLA	30.421309	30.421309
MISSOULA	46.8701049	46.8701049
OAKDALE	44.985624	44.985624
CARY	35.7882893	35.7882893
WINDSOR	51.48375775	51.48375775
MCCLELLAN	39.5536938	39.5536938
CRESTVIEW	30.7621326	30.7621326
VIRGINIA BEACH	36.8529841	36.8529841
TACOMA	47.2495798	47.2495798
GLENDORA	34.1361187	34.1361187
GREEN BAY	44.5126379	44.5126379
KENNESAW	34.0234337	34.0234337
EASTON	40.6916081	40.6916081
FORT DEFIANCE	35.7531285	35.7531285
COMMERCE	34.002581	34.002581
BOWIE	33.4198886	33.4198886
DINUBA	36.5432837	36.5432837
GLEN ROCK	40.9628758	40.9628758
SANGER	33.3631706	33.3631706
MEDLEY	25.8406526	25.8406526
HOLLYWOOD	34.0980031	34.0980031
WEST SACRAMENTO	38.5804609	38.5804609
ELMER	39.9567801	39.9567801
EAST SYRACUSE	43.0653446	43.0653446
AVENTURA	25.9564812	25.9564812
VERNON HILLS	42.2204892	42.2204892
TOMS RIVER	39.9537359	39.9537359
SUNRISE	26.1471902	26.1471902
SOUTH COLTON	44.5106186	44.5106186
MADERA	37.1716264	37.1716264
ALPHARETTA	34.0709576	34.0709576
CLARK	39.3260541	39.3260541
MIDDLETON	43.0962919	43.0962919
CHADDS FORD	39.872027	39.872027
PHILLIPSBURG	40.6937099	40.6937099
REDLANDS	34.0550328	34.0550328
BURLEY	42.5357428	42.5357428
CLOVERDALE	38.8054624	38.8054624
SHOAL CREEK	34.4696911	34.4696911
FLUSHING	51.49433865	51.49433865
UNCASVILLE	41.4345426	41.4345426
MOUNT RAINIER	46.8521484	46.8521484
PARAMOUNT	33.898917	33.898917
KING OF PRUSSIA	40.09476245	40.09476245
CHICO	39.7284945	39.7284945
UNION CITY	37.5963232	37.5963232
CEDAR CITY	37.6774238	37.6774238
CARMEL	39.9788017	39.9788017
ROCK ISLAND	41.4411786	41.4411786
SAN RAMON	41.7253374	41.7253374
YORKTOWN	37.2356655	37.2356655
SUGAR LAND	29.6196787	29.6196787
LAFAYETTE	29.9978185	29.9978185
TINLEY PARK	41.5733669	41.5733669
LEXINGTON	38.0464066	38.0464066
EAU CLAIRE	44.811349	44.811349
CORPUS CHRISTI	27.7951482	27.7951482
PAWTUCKET	41.878711	41.878711
SAN CARLOS	37.504936	37.504936
CHULA VISTA	32.6400541	32.6400541
STRATFORD	52.1927803	52.1927803
SIKESTON	36.876719	36.876719
CHICKASHA	35.052565	35.052565
GALESBURG	40.9475652	40.9475652
GILROY	37.0065078	37.0065078
HARLAN	40.1617382	40.1617382
UNION	37.4616454	37.4616454
BATTLE CREEK	42.3192548	42.3192548
VALENCIA	39.4697065	39.4697065
DOTHAN	31.2237434	31.2237434
PUYALLUP	47.1849009	47.1849009
MAITLAND	-32.7316683	-32.7316683
POMONA	34.0553813	34.0553813
NORRIDGE	41.9633641	41.9633641
O FALLON	38.7910374	38.7910374
EIGHTY FOUR	40.1827171	40.1827171
HUNTINGDON VALLEY	40.1226101	40.1226101
COCOA	28.3553873	28.3553873
ALABASTER	33.2442813	33.2442813
MOUNT PLEASANT	33.1570582	33.1570582
CRANBURY	40.3099385	40.3099385
NEWBURYPORT	42.8125913	42.8125913
OKLAHOMA CITY	35.4729886	35.4729886
SHIPROCK	36.79196	36.79196
HASTINGS	50.8553888	50.8553888
GROVETOWN	33.4504157	33.4504157
METAIRIE	30.00185465	30.00185465
DEDHAM	41.9063152	41.9063152
KATY	29.7857853	29.7857853
BRIDGETON	38.7566055	38.7566055
CAMP SPRINGS	38.8020807	38.8020807
GLADSTONE	-23.8431724	-23.8431724
CORNWALL	50.4433489	50.4433489
CHOCTAW	35.4975654	35.4975654
BELLE CHASSE	29.844148	29.844148
SHERMAN OAKS	34.1508718	34.1508718
ELLICOTT CITY	39.27573585	39.27573585
BETHESDA	38.98127255	38.98127255
BOHEMIA	40.77024305	40.77024305
WALLKILL	41.4636977	41.4636977
YUBA CITY	39.1404477	39.1404477
HILLSBOROUGH	27.9184543	27.9184543
BRIMFIELD	40.838926	40.838926
CLEARWATER	27.9658533	27.9658533
MORRISTOWN	40.7970382	40.7970382
WATERFORD	52.2449628	52.2449628
KLAMATH FALLS	42.224867	42.224867
MACOMB	42.6741189	42.6741189
BLACKFOOT	43.190039	43.190039
GALVESTON	29.299328	29.299328
GRANITE CITY	57.1482429	57.1482429
EL MONTE	34.0751571	34.0751571
WEST CHICAGO	41.8847507	41.8847507
SHENANDOAH	40.7655468	40.7655468
BUCKLEY	40.5969794	40.5969794
ROCKY MOUNT	35.9423833	35.9423833
SANTA ANA	33.7494951	33.7494951
AUBURN HILLS	42.6875323	42.6875323
FRESNO	36.7394421	36.7394421
SAN LUIS OBISPO	35.3540209	35.3540209
NORTH PLATTE	41.1238873	41.1238873
VINELAND	39.4862777	39.4862777
ASHEBORO	35.7079146	35.7079146
MONTEBELLO	34.0159398	34.0159398
HANFORD	36.3274502	36.3274502
JEFFERSON HILLS	40.2911809	40.2911809
